category,repo,url,stars,last_updated,description
Tools,mordang7/ContextKeep,https://github.com/mordang7/ContextKeep,150,2026-04-07,Infinite Long-Term Memory for AI Agents (MCP Server)
Tools,neuledge/context,https://github.com/neuledge/context,184,2026-04-19,Local-first documentation for AI agents
Tools,parcadei/Continuous-Claude-v3,https://github.com/parcadei/Continuous-Claude-v3,3731,2026-01-26,Context management for Claude Code. Hooks maintain state via ledgers and handoffs. MCP execution without context pollution. Agent orchestration with isolated context windows.
Tools,qdrant/mcp-server-qdrant,https://github.com/qdrant/mcp-server-qdrant,1364,2026-03-31,An official Qdrant Model Context Protocol (MCP) server implementation
Tools,shcherbak-ai/contextgem,https://github.com/shcherbak-ai/contextgem,1823,2026-03-16,ContextGem: Effortless LLM extraction from documents
Tools,Tencent/WeKnora,https://github.com/Tencent/WeKnora,14000,2026-04-24,"LLM-powered framework for deep document understanding, semantic retrieval, and context-aware answers using RAG paradigm."
Tools,trustgraph-ai/trustgraph,https://github.com/trustgraph-ai/trustgraph,2022,2026-04-24,"The context development platform. Store, enrich, and retrieve structured knowledge with graph-native infrastructure, semantic retrieval, and portable context cores."
Tools,udecode/dotai,https://github.com/udecode/dotai,1153,2026-03-30,Context manager for all agents
Tools,upstash/context7,https://github.com/upstash/context7,53684,2026-04-24,Context7 Platform -- Up-to-date code documentation for LLMs and AI code editors
Tools,volcengine/OpenViking,https://github.com/volcengine/OpenViking,23026,2026-04-25,"OpenViking is an open-source context database designed specifically for AI Agents(such as openclaw). OpenViking unifies the management of context (memory, resources, and skills) that Agents need through a file system paradigm, enabling hierarchical context delivery and self-evolving."
Tools,zilliztech/claude-context,https://github.com/zilliztech/claude-context,9184,2026-04-24,Code search MCP for Claude Code. Make entire codebase the context for any coding agent.
